34937;# doc = travelling.2.txt;;;;;;;;;;;;;;;;
34938;# speaker = Марина;;;;;;;;;;;;;;;;
34939;# sent = 2618;;;;;;;;;;;;;;;;
34940;;Э;Э-Э;INTJ;;;   _Э_ , вспомни ,;э;;;;;;INTJ;Э;S - - nonflex -;Э
34941;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34942;;вспомни;ВСПОМНИТЬ;V pf - sg imper - 2p;;; Э , _вспомни_ , в каких;и;н;м;о;п;с;V;ВСПОМНИТЬ;V pf - sg imper - 2p;Ь
34943;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34944;;в;В;PR;;;, вспомни , _в_ каких  гродах;в;;;;;;PR;В;PR;В
34945;;каких;КАКОЙ;APRO - loc pl plen - -;;;вспомни , в _каких_  гродах ;х;и;к;а;к;;APRO;КАКОЙ;A - gen pl plen - -;Й
34946;"<distinct form=""";;;;;;;;;;;;;;;;
34947;<dist>;гродах;;;;;;;;;;;;;;;
34948;""">";;;;;;;;;;;;;;;;
34949;;городах;ГОРОД;S m inan loc pl;;; гродах  _городах_  и странах;х;а;д;о;р;о;S;ГОРОД;S m inan loc pl;Д
34950;</distinct>;;;;;;;;;;;;;;;;
34951;;и;И;CONJ;;; городах  _и_ странах ты была;и;;;;;;CONJ;И;CONJ;И
34952;;странах;СТРАНА;S f inan loc pl;;;городах  и _странах_ ты была ,;х;а;н;а;р;т;S;СТРАНА;S f inan loc pl;А
34953;;ты;ТЫ;SPRO sg 2p - nom;;; и странах _ты_ была , ;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
34954;;была;БЫТЬ;V ipf praet sg indic f -;;;и странах ты _была_ ,  иии;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34955;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34956;"<distinct form=""";;;;;;;;;;;;;;;;
34957;<dist>;иии;;;;;;;;;;;;;;;
34958;""">";;;;;;;;;;;;;;;;
34959;;и;И;CONJ;;; иии  _и_  расскажи о;и;;;;;;CONJ;И;CONJ;И
34960;</distinct>;;;;;;;;;;;;;;;;
34961;;расскажи;РАССКАЗАТЬ;V pf - sg imper - 2p;;; и  _расскажи_ о тех ,;и;ж;а;к;с;с;V;РАССКАЗАТЬ;V pf - sg imper - 2p;Ь
34962;;о;О;PR;;;и  расскажи _о_ тех , в;о;;;;;;PR;О;PR;О
34963;;тех;ТОТ;APRO - loc pl plen - -;;; расскажи о _тех_ , в которых;х;е;т;;;;SPRO;ТОТ;A - gen pl plen - -;Т
34964;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34965;;в;В;PR;;;о тех , _в_ которых тебе больше;в;;;;;;PR;В;PR;В
34966;;которых;КОТОРЫЙ;APRO - loc pl plen - -;;;тех , в _которых_ тебе больше всего;х;ы;р;о;т;о;APRO;КОТОРЫЙ;A - gen pl plen - -;Й
34967;;тебе;ТЫ;SPRO sg 2p - dat;;;, в которых _тебе_ больше всего понравилось;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - dat;Ы
34968;;больше;МНОГО;ADV comp;;;в которых тебе _больше_ всего понравилось .;е;ш;ь;л;о;б;ADV;МНОГО;ADV comp;О
34969;;всего;ВСЕ;S n inan gen sg;;;которых тебе больше _всего_ понравилось . ;о;г;е;с;в;;S;ВСЕ;S n inan gen sg;Е
34970;;понравилось;ПОНРАВИТЬСЯ;V pf praet sg indic n -;;;тебе больше всего _понравилось_ .  ;ь;с;о;л;и;в;V;ПОНРАВИТЬСЯ;V pf praet sg indic n -;Я
34971;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
34972;;;;;;;;;;;;;;;;;
34973;# sent = 2619;;;;;;;;;;;;;;;;
34974;# speaker = Алёна;;;;;;;;;;;;;;;;
34975;# sent = 2620;;;;;;;;;;;;;;;;
34976;;А;А;CONJ;;;   _А_ была , когда;а;;;;;;CONJ;А;CONJ;А
34977;;была;БЫТЬ;V ipf praet sg indic f -;;;  А _была_ , когда я;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34978;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
34979;;когда;КОГДА;CONJ;;;А была , _когда_ я была взрослой;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
34980;;я;Я;SPRO sg 1p - nom;;;была , когда _я_ была взрослой или;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
34981;;была;БЫТЬ;V ipf praet sg indic f -;;;, когда я _была_ взрослой или когда;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34982;;взрослой;ВЗРОСЛЫЙ;A - ins sg plen f -;;;когда я была _взрослой_ или когда я;й;о;л;с;о;р;A;ВЗРОСЛЫЙ;A - ins sg plen f -;Й
34983;;или;ИЛИ;CONJ;;;я была взрослой _или_ когда я была;и;л;и;;;;CONJ;ИЛИ;CONJ;И
34984;;когда;КОГДА;CONJ;;;была взрослой или _когда_ я была маленькой;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
34985;;я;Я;SPRO sg 1p - nom;;;взрослой или когда _я_ была маленькой ?;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
34986;;была;БЫТЬ;V ipf praet sg indic f -;;;или когда я _была_ маленькой ? ;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
34987;;маленькой;МАЛЕНЬКИЙ;A - ins sg plen f -;;;когда я была _маленькой_ ?  ;й;о;к;ь;н;е;A;МАЛЕНЬКИЙ;A - ins sg plen f -;Й
34988;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
34989;;;;;;;;;;;;;;;;;
34990;# sent = 2621;;;;;;;;;;;;;;;;
34991;;Или;ИЛИ;CONJ;;;?   _Или_ вообще ? ;и;л;и;;;;CONJ;ИЛИ;CONJ;И
34992;;вообще;ВООБЩЕ;ADV -;;;  Или _вообще_ ?  ;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
34993;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
34994;;;;;;;;;;;;;;;;;
34995;# sent = 2622;;;;;;;;;;;;;;;;
34996;# speaker = Марина;;;;;;;;;;;;;;;;
34997;# sent = 2623;;;;;;;;;;;;;;;;
34998;;Вообще;ВООБЩЕ;ADV -;;;   _Вообще_ .  ;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
34999;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35000;;;;;;;;;;;;;;;;;
35001;# sent = 2624;;;;;;;;;;;;;;;;
35002;# speaker = Алёна;;;;;;;;;;;;;;;;
35003;# sent = 2625;;;;;;;;;;;;;;;;
35004;;Вообще;ВООБЩЕ;ADV -;;;   _Вообще_ ? .. ;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
35005;;?;?..;PUNCT;;;;;;;;;;PUNCT;;;
35006;;..;..;PUNCT;;;;;;;;;;PUNCT;;;
35007;;;;;;;;;;;;;;;;;
35008;# sent = 2626;;;;;;;;;;;;;;;;
35009;;Э;Э-Э;INTJ;;;..   _Э_ ,  вообщеее;э;;;;;;INTJ;Э;S - - nonflex -;Э
35010;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35011;"<distinct form=""";;;;;;;;;;;;;;;;
35012;<dist>;вообщеее;;;;;;;;;;;;;;;
35013;""">";;;;;;;;;;;;;;;;
35014;;вообще;ВООБЩЕ;ADV -;;; вообщеее  _вообще_  ... самое;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -;Е
35015;</distinct>;;;;;;;;;;;;;;;;
35016;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35017;;самое;САМЫЙ;APRO - nom sg plen n -;;;вообще  ... _самое_ , ээ ,;е;о;м;а;с;;A;САМЫЙ;A - nom sg plen n -;Й
35018;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35019;;ээ;Э-Э;INTJ;;;... самое , _ээ_ , интересное воспоминание;э;э;;;;;NONLEX;ЭЭ;NONLEX;Э
35020;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35021;;интересное;ИНТЕРЕСНЫЙ;A - nom sg plen n -;;;, ээ , _интересное_ воспоминание у меня;е;о;н;с;е;р;A;ИНТЕРЕСНЫЙ;A - nom sg plen n -;Й
35022;;воспоминание;ВОСПОМИНАНИЕ;S n inan nom sg;;;ээ , интересное _воспоминание_ у меня о;е;и;н;а;н;и;S;ВОСПОМИНАНИЕ;S n inan nom sg;Е
35023;;у;У;PR;;;, интересное воспоминание _у_ меня о Сахалине;у;;;;;;PR;У;PR;У
35024;;меня;Я;SPRO sg 1p - gen;;;интересное воспоминание у _меня_ о Сахалине .;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc;Я
35025;;о;О;PR;;;воспоминание у меня _о_ Сахалине . ;о;;;;;;PR;О;PR;О
35026;;Сахалине;САХАЛИН;S m inan loc sg;;;у меня о _Сахалине_ .  ;е;н;и;л;а;х;S;САХАЛИН;S m inan loc sg;Н
35027;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35028;;;;;;;;;;;;;;;;;
35029;# sent = 2627;;;;;;;;;;;;;;;;
35030;;Я;Я;SPRO sg 1p - nom;;;.   _Я_ туда ехала с;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35031;;туда;ТУДА;ADV -;;;  Я _туда_ ехала с родителями;а;д;у;т;;;ADV;ТУДА;ADV -;А
35032;;ехала;ЕХАТЬ;V ipf praet sg indic f -;;; Я туда _ехала_ с родителями ,;а;л;а;х;е;;V;ЕХАТЬ;V ipf praet sg indic f -;Ь
35033;;с;С;PR;;;Я туда ехала _с_ родителями , когда;с;;;;;;PR;С;PR;С
35034;;родителями;РОДИТЕЛЬ;S m anim ins pl;;;туда ехала с _родителями_ , когда мне;и;м;я;л;е;т;S;РОДИТЕЛЬ;S m anim ins pl;Ь
35035;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35036;;когда;КОГДА;CONJ;;;с родителями , _когда_ мне было четыре;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
35037;;мне;Я;SPRO sg 1p - dat;;;родителями , когда _мне_ было четыре года;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
35038;;было;БЫТЬ;V ipf praet sg indic n -;;;, когда мне _было_ четыре года ,;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
35039;;четыре;ЧЕТЫРЕ;NUM nom - -;;;когда мне было _четыре_ года , ну;е;р;ы;т;е;ч;NUM;ЧЕТЫРЕ;NUM nom - -;Е
35040;;года;ГОД;S m inan gen sg;;;мне было четыре _года_ , ну почти;а;д;о;г;;;S;ГОД;S m inan gen sg;Д
35041;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35042;;ну;НУ;PART;;;четыре года , _ну_ почти пять .;у;н;;;;;PART;НУ;PART;У
35043;;почти;ПОЧТИ;ADV -;;;года , ну _почти_ пять . ;и;т;ч;о;п;;ADV;ПОЧТИ;ADV -;И
35044;;пять;ПЯТЬ;NUM nom - -;;;, ну почти _пять_ .  ;ь;т;я;п;;;NUM;ПЯТЬ;NUM acc - -;Ь
35045;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35046;;;;;;;;;;;;;;;;;
35047;# sent = 2628;;;;;;;;;;;;;;;;
35048;;Я;Я;SPRO sg 1p - nom;;;.   _Я_ очень боялась туда;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35049;;очень;ОЧЕНЬ;ADV -;;;  Я _очень_ боялась туда ехать;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35050;;боялась;БОЯТЬСЯ;V ipf praet sg indic f -;;; Я очень _боялась_ туда ехать ,;ь;с;а;л;я;о;V;БОЯТЬСЯ;V ipf praet sg indic f -;Я
35051;;туда;ТУДА;ADV -;;;Я очень боялась _туда_ ехать , потому что;а;д;у;т;;;ADV;ТУДА;ADV -;А
35052;;ехать;ЕХАТЬ;V ipf - - inf - -;;;очень боялась туда _ехать_ , потому что родители;ь;т;а;х;е;;V;ЕХАТЬ;V ipf - - inf - -;Ь
35053;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35054;;потому что;потому что;CONJ;;;туда ехать , _потому что_ родители объяснили мне;о;т;ч; ;у;м;CONJ;потому что;CONJ;о
35055;;родители;РОДИТЕЛЬ;S m anim nom pl;;;ехать , потому что _родители_ объяснили мне ,;и;л;е;т;и;д;S;РОДИТЕЛЬ;S m anim nom pl;Ь
35056;;объяснили;ОБЪЯСНИТЬ;V pf praet pl indic - -;;;, потому что родители _объяснили_ мне , что;и;л;и;н;с;я;V;ОБЪЯСНИТЬ;V pf praet pl indic - -;Ь
35057;;мне;Я;SPRO sg 1p - dat;;;потому что родители объяснили _мне_ , что это;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
35058;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35059;;что;ЧТО;CONJ;;;объяснили мне , _что_ это остров ,;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35060;;это;ЭТО;SPRO n - nom sg;;;мне , что _это_ остров , и;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
35061;;остров;ОСТРОВ;S m inan nom sg;;;, что это _остров_ , и в;в;о;р;т;с;о;S;ОСТРОВ;S m inan nom sg;В
35062;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35063;;и;И;CONJ;;;это остров , _и_ в моём понимании;и;;;;;;CONJ;И;CONJ;И
35064;;в;В;PR;;;остров , и _в_ моём понимании остров;в;;;;;;PR;В;PR;В
35065;;моём;МОЙ;APRO - loc sg plen n -;;;, и в _моём_ понимании остров ...;м;ё;о;м;;;APRO;МОЙ;A - loc sg plen n -;Й
35066;;понимании;ПОНИМАНИЕ;S n inan loc sg;;;и в моём _понимании_ остров ... эээ;и;и;н;а;м;и;S;ПОНИМАНИЕ;S n inan loc sg;Е
35067;;остров;ОСТРОВ;S m inan nom sg;;;в моём понимании _остров_ ... эээ ...;в;о;р;т;с;о;S;ОСТРОВ;S m inan acc sg;В
35068;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35069;;эээ;Э-Э;INTJ;;;понимании остров ... _эээ_ ... а они;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX;Э
35070;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35071;;а;А;CONJ;;;... эээ ... _а_ они мне ,;а;;;;;;CONJ;А;CONJ;А
35072;;они;ОНИ;SPRO pl 3p - nom;;;эээ ... а _они_ мне , наверное;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
35073;;мне;Я;SPRO sg 1p - dat;;;... а они _мне_ , наверное ,;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
35074;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35075;;наверное;НАВЕРНОЕ;PARENTH  -;;;они мне , _наверное_ , объяснили ,;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35076;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35077;;объяснили;ОБЪЯСНИТЬ;V pf praet pl indic - 3p;;;, наверное , _объяснили_ , что остров;и;л;и;н;с;я;V;ОБЪЯСНИТЬ;V pf praet pl indic - -;Ь
35078;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35079;;что;ЧТО;CONJ;;;, объяснили , _что_ остров омывается со;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35080;;остров;ОСТРОВ;S m inan nom sg;;;объяснили , что _остров_ омывается со всех;в;о;р;т;с;о;S;ОСТРОВ;S m inan nom sg;В
35081;;омывается;ОМЫВАТЬСЯ;V ipf praes sg indic - 3p;;;, что остров _омывается_ со всех сторон;я;с;т;е;а;в;V;ОМЫВАТЬСЯ;V ipf praes sg indic - 3p;Я
35082;;со;СО;PR;;;что остров омывается _со_ всех сторон водой;о;с;;;;;PR;СО;PR;О
35083;;всех;ВЕСЬ;APRO - gen pl plen - -;;;остров омывается со _всех_ сторон водой и;х;е;с;в;;;APRO;ВЕСЬ;A - gen pl plen - -;Ь
35084;;сторон;СТОРОНА;S f inan gen pl;;;омывается со всех _сторон_ водой и добраться;н;о;р;о;т;с;S;СТОРОНА;S f inan gen pl;А
35085;;водой;ВОДА;S f inan ins sg;;;со всех сторон _водой_ и добраться до;й;о;д;о;в;;S;ВОДА;S f inan ins sg;А
35086;;и;И;CONJ;;;всех сторон водой _и_ добраться до него;и;;;;;;CONJ;И;CONJ;И
35087;;добраться;ДОБРАТЬСЯ;V pf - - inf - -;;;сторон водой и _добраться_ до него можно;я;с;ь;т;а;р;V;ДОБРАТЬСЯ;V pf - - inf - -;Я
35088;;до;ДО;PR;;;водой и добраться _до_ него можно было;о;д;;;;;PR;ДО;PR;О
35089;;него;ОН;SPRO sg 3p m gen;;;и добраться до _него_ можно было только;о;г;е;н;;;SPRO;ОН;SPRO sg 3p m acc;Н
35090;;можно;МОЖНО;PRAEDIC;;;добраться до него _можно_ было только на;о;н;ж;о;м;;PRAEDIC;МОЖНО;PRAEDIC;О
35091;;было;БЫТЬ;V ipf praet sg indic n -;;;до него можно _было_ только на теплоходе;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
35092;;только;ТОЛЬКО;PART;;;него можно было _только_ на теплоходе .;о;к;ь;л;о;т;PART;ТОЛЬКО;PART;О
35093;;на;НА;PR;;;можно было только _на_ теплоходе . ;а;н;;;;;PR;НА;PR;А
35094;;теплоходе;ТЕПЛОХОД;S m inan loc sg;;;было только на _теплоходе_ .  ;е;д;о;х;о;л;S;ТЕПЛОХОД;S m inan loc sg;Д
35095;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35096;;;;;;;;;;;;;;;;;
35097;# sent = 2629;;;;;;;;;;;;;;;;
35098;;А;А;CONJ;;;.   _А_ я очень сильно;а;;;;;;CONJ;А;CONJ;А
35099;;я;Я;SPRO sg 1p - nom;;;  А _я_ очень сильно боюсь;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35100;;очень;ОЧЕНЬ;ADV -;;; А я _очень_ сильно боюсь воды;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35101;;сильно;СИЛЬНО;ADV -;;;А я очень _сильно_ боюсь воды ,;о;н;ь;л;и;с;ADV;СИЛЬНО;ADV -;О
35102;;боюсь;БОЯТЬСЯ;V ipf praes sg indic - 1p;;;я очень сильно _боюсь_ воды , ;ь;с;ю;о;б;;V;БОЯТЬСЯ;V ipf praes sg indic - 1p;Я
35103;;воды;ВОДА;S f inan gen sg;;;очень сильно боюсь _воды_ ,  тыж;ы;д;о;в;;;S;ВОДА;S f inan gen sg;А
35104;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35105;"<distinct form=""";;;;;;;;;;;;;;;;
35106;<dist>;тыж;;;;;;;;;;;;;;;
35107;""">";;;;;;;;;;;;;;;;
35108;;ты;ТЫ;SPRO sg 2p - nom;;; тыж  _ты_ же  знаешь;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
35109;;же;ЖЕ;PART;;;тыж  ты _же_  знаешь .;е;ж;;;;;PART;ЖЕ;PART;Е
35110;</distinct>;;;;;;;;;;;;;;;;
35111;;знаешь;ЗНАТЬ;V ipf praes sg indic - 2p;;;ты же  _знаешь_ .  ;ь;ш;е;а;н;з;V;ЗНАТЬ;V ipf praes sg indic - 2p;Ь
35112;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35113;;;;;;;;;;;;;;;;;
35114;# sent = 2630;;;;;;;;;;;;;;;;
35115;;Боюсь;БОЯТЬСЯ;V ipf praes sg indic - 1p;;;.   _Боюсь_ моря , боюсь;ь;с;ю;о;б;;V;БОЯТЬСЯ;V ipf praes sg indic - 1p;Я
35116;;моря;МОРЕ;S n inan gen sg;;;  Боюсь _моря_ , боюсь в;я;р;о;м;;;S;МОРЕ;S n inan gen sg;Е
35117;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35118;;боюсь;БОЯТЬСЯ;V ipf praes sg indic - 1p;;;Боюсь моря , _боюсь_ в бассейне плавать;ь;с;ю;о;б;;V;БОЯТЬСЯ;V ipf praes sg indic - 1p;Я
35119;;в;В;PR;;;моря , боюсь _в_ бассейне плавать ,;в;;;;;;PR;В;PR;В
35120;;бассейне;БАССЕЙН;S m inan loc sg;;;, боюсь в _бассейне_ плавать , если;е;н;й;е;с;с;S;БАССЕЙН;S m inan loc sg;Н
35121;;плавать;ПЛАВАТЬ;V ipf - - inf - -;;;боюсь в бассейне _плавать_ , если я;ь;т;а;в;а;л;V;ПЛАВАТЬ;V ipf - - inf - -;Ь
35122;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35123;;если;ЕСЛИ;CONJ;;;бассейне плавать , _если_ я н ...;и;л;с;е;;;CONJ;ЕСЛИ;CONJ;И
35124;;я;Я;SPRO sg 1p - nom;;;плавать , если _я_ н ... чувствую;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35125;;н;Н;NONLEX;;;, если я _н_ ... чувствую ,;н;;;;;;NONLEX;Н;NONLEX;Н
35126;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35127;;чувствую;ЧУВСТВОВАТЬ;V ipf praes sg indic - 1p;;;я н ... _чувствую_ , что я;ю;у;в;т;с;в;V;ЧУВСТВОВАТЬ;V ipf praes sg indic - 1p;Ь
35128;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35129;;что;ЧТО;CONJ;;;... чувствую , _что_ я не достаю;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35130;;я;Я;SPRO sg 1p - nom;;;чувствую , что _я_ не достаю дна;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35131;;не;НЕ;PART;;;, что я _не_ достаю дна .;е;н;;;;;PART;НЕ;PART;Е
35132;;достаю;ДОСТАВАТЬ;V ipf praes sg indic - 1p;;;что я не _достаю_ дна . ;ю;а;т;с;о;д;V;ДОСТАВАТЬ;V ipf praes sg indic - 1p;Ь
35133;;дна;ДНО;S n inan gen sg;;;я не достаю _дна_ .  ;а;н;д;;;;S;ДНО;S n inan gen sg;О
35134;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35135;;;;;;;;;;;;;;;;;
35136;# sent = 2631;;;;;;;;;;;;;;;;
35137;;Э;Э-Э;INTJ;;;.   _Э_ , и когда;э;;;;;;INTJ;Э;INTJ;Э
35138;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35139;;и;И;CONJ;;; Э , _и_ когда ... папа;и;;;;;;CONJ;И;CONJ;И
35140;;когда;КОГДА;CONJ;;;Э , и _когда_ ... папа купил;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
35141;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35142;;папа;ПАПА;S m anim nom sg;;;и когда ... _папа_ купил билеты на;а;п;а;п;;;S;ПАПА;S m anim nom sg;А
35143;;купил;КУПИТЬ;V pf praet sg indic m -;;;когда ... папа _купил_ билеты на самолет;л;и;п;у;к;;V;КУПИТЬ;V pf praet sg indic m -;Ь
35144;;билеты;БИЛЕТ;S m inan acc pl;;;... папа купил _билеты_ на самолет и;ы;т;е;л;и;б;S;БИЛЕТ;S m inan acc pl;Т
35145;;на;НА;PR;;;папа купил билеты _на_ самолет и сказал;а;н;;;;;PR;НА;PR;А
35146;;самолет;САМОЛЕТ;S m inan acc sg;;;купил билеты на _самолет_ и сказал ,;т;е;л;о;м;а;S;САМОЛЕТ;S f inan acc sg;Т
35147;;и;И;CONJ;;;билеты на самолет _и_ сказал , что;и;;;;;;CONJ;И;CONJ;И
35148;;сказал;СКАЗАТЬ;V pf praet sg indic m -;;;на самолет и _сказал_ , что мы;л;а;з;а;к;с;V;СКАЗАТЬ;V pf praet sg indic m -;Ь
35149;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35150;;что;ЧТО;CONJ;;;и сказал , _что_ мы полетим самолетом;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35151;;мы;МЫ;SPRO pl 1p - nom;;;сказал , что _мы_ полетим самолетом ,;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
35152;;полетим;ПОЛЕТЕТЬ;V pf fut pl indic - 1p;;;, что мы _полетим_ самолетом , я;м;и;т;е;л;о;V;ПОЛЕТЕТЬ;V pf - pl imper - 1p;Ь
35153;;самолетом;САМОЛЕТ;S m inan ins sg;;;что мы полетим _самолетом_ , я очень;м;о;т;е;л;о;S;САМОЛЕТ;S m inan ins sg;Т
35154;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35155;;я;Я;SPRO sg 1p - nom;;;полетим самолетом , _я_ очень сильно обрадовалась;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35156;;очень;ОЧЕНЬ;ADV -;;;самолетом , я _очень_ сильно обрадовалась .;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35157;;сильно;СИЛЬНО;ADV -;;;, я очень _сильно_ обрадовалась . ;о;н;ь;л;и;с;ADV;СИЛЬНО;ADV -;О
