34937;# doc = travelling.2.txt;;;;;;;;;;;;;;;;
35158;;обрадовалась;ОБРАДОВАТЬСЯ;V pf praet sg indic f -;;;я очень сильно _обрадовалась_ .  ;ь;с;а;л;а;в;V;ОБРАДОВАТЬСЯ;V pf praet sg indic f -;Я
35159;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35160;;;;;;;;;;;;;;;;;
35161;# sent = 2632;;;;;;;;;;;;;;;;
35162;;Поскольку;ПОСКОЛЬКУ;CONJ;;;.   _Поскольку_ я прожила там;у;к;ь;л;о;к;CONJ;ПОСКОЛЬКУ;CONJ;У
35163;;я;Я;SPRO sg 1p - nom;;;  Поскольку _я_ прожила там очень;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35164;;прожила;ПРОЖИТЬ;V pf praet sg indic f 1p;;; Поскольку я _прожила_ там очень долго;а;л;и;ж;о;р;V;ПРОЖИТЬ;V pf praet sg indic f -;Ь
35165;;там;ТАМ;ADV -;;;Поскольку я прожила _там_ очень долго ,;м;а;т;;;;ADV;ТАМ;ADV -;М
35166;;очень;ОЧЕНЬ;ADV -;;;я прожила там _очень_ долго , я;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35167;;долго;ДОЛГО;ADV -;;;прожила там очень _долго_ , я в;о;г;л;о;д;;ADV;ДОЛГО;ADV -;О
35168;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35169;;я;Я;SPRO sg 1p - nom;;;очень долго , _я_ в первый класс;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35170;;в;В;PR;;;долго , я _в_ первый класс там;в;;;;;;PR;В;PR;В
35171;;первый;ПЕРВЫЙ;ANUM - acc sg plen m inan;;;, я в _первый_ класс там пошла;й;ы;в;р;е;п;A;ПЕРВЫЙ;A - acc sg plen m inan;Й
35172;;класс;КЛАСС;S m inan acc sg;;;я в первый _класс_ там пошла ,;с;с;а;л;к;;S;КЛАСС;S m inan acc sg;С
35173;;там;ТАМ;ADV -;;;в первый класс _там_ пошла , я;м;а;т;;;;ADV;ТАМ;ADV -;М
35174;;пошла;ПОЙТИ;V pf praet sg indic f -;;;первый класс там _пошла_ , я даже;а;л;ш;о;п;;V;ПОЙТИ;V pf praet sg indic f -;И
35175;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35176;;я;Я;SPRO sg 1p - nom;;;там пошла , _я_ даже сейчас ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35177;;даже;ДАЖЕ;PART;;;пошла , я _даже_ сейчас , мне;е;ж;а;д;;;PART;ДАЖЕ;PART;Е
35178;;сейчас;СЕЙЧАС;ADV -;;;, я даже _сейчас_ , мне ;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -;С
35179;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35180;;мне;Я;SPRO sg 1p - dat;;;даже сейчас , _мне_  кажца ;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
35181;"<distinct form=""";;;;;;;;;;;;;;;;
35182;<dist>;кажца;;;;;;;;;;;;;;;
35183;""">";;;;;;;;;;;;;;;;
35184;;кажется;КАЖЕТСЯ;V ipf praes sg indic - 3p;;; кажца  _кажется_  , ощущаю;я;с;т;е;ж;а;ADV;КАЖЕТСЯ;ADV -;Я
35185;</distinct>;;;;;;;;;;;;;;;;
35186;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35187;;ощущаю;ОЩУЩАТЬ;V ipf praes sg indic - 1p;;;кажется  , _ощущаю_ иногда запах .;ю;а;щ;у;щ;о;V;ОЩУЩАТЬ;V ipf praes sg indic - 1p;Ь
35188;;иногда;ИНОГДА;ADV -;;; , ощущаю _иногда_ запах . ;а;д;г;о;н;и;ADV;ИНОГДА;ADV -;А
35189;;запах;ЗАПАХ;S m inan acc sg;;;, ощущаю иногда _запах_ .  ;х;а;п;а;з;;S;ЗАПАХ;S m inan nom sg;Х
35190;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35191;;;;;;;;;;;;;;;;;
35192;# sent = 2633;;;;;;;;;;;;;;;;
35193;;Вот;ВОТ;PART;;;.   _Вот_ запах ... ;т;о;в;;;;PART;ВОТ;PART;Т
35194;;запах;ЗАПАХ;S m inan nom sg;;;  Вот _запах_ ...  ;х;а;п;а;з;;S;ЗАПАХ;S m inan nom sg;Х
35195;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35196;;;;;;;;;;;;;;;;;
35197;# sent = 2634;;;;;;;;;;;;;;;;
35198;;Ассоциации;АССОЦИАЦИЯ;S f inan nom pl;;;...   _Ассоциации_ такие , вот;и;и;ц;а;и;ц;S;АССОЦИАЦИЯ;S f inan gen sg;Я
35199;;такие;ТАКОЙ;APRO - nom pl plen - -;;;  Ассоциации _такие_ , вот у;е;и;к;а;т;;APRO;ТАКОЙ;A - nom pl plen - -;Й
35200;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35201;;вот;ВОТ;PART;;;Ассоциации такие , _вот_ у кого-то возникают;т;о;в;;;;PART;ВОТ;PART;Т
35202;;у;У;PR;;;такие , вот _у_ кого-то возникают ассоциации;у;;;;;;PR;У;PR;У
35203;;кого-то;КТО-ТО;SPRO m - gen sg;;;, вот у _кого-то_ возникают ассоциации ,;о;т;-;о;г;о;S;КТО-ТО;S m - gen sg;О
35204;;возникают;ВОЗНИКАТЬ;V ipf praes pl indic - 3p;;;вот у кого-то _возникают_ ассоциации , там;т;ю;а;к;и;н;V;ВОЗНИКАТЬ;V ipf praes pl indic - 3p;Ь
35205;;ассоциации;АССОЦИАЦИЯ;S f inan nom pl;;;у кого-то возникают _ассоциации_ , там ,;и;и;ц;а;и;ц;S;АССОЦИАЦИЯ;S f inan nom pl;Я
35206;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35207;;там;ТАМ;PART;;;возникают ассоциации , _там_ , при виде;м;а;т;;;;ADV;ТАМ;ADV -;М
35208;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35209;;при;ПРИ;PR;;;, там , _при_ виде чего-то ,;и;р;п;;;;PR;ПРИ;PR;И
35210;;виде;ВИД;S m inan loc sg;;;там , при _виде_ чего-то , у;е;д;и;в;;;S;ВИД;S m inan loc sg;Д
35211;;чего-то;ЧТО-ТО;SPRO n inan gen sg;;;, при виде _чего-то_ , у меня;о;т;-;о;г;е;SPRO;ЧТО-ТО;S n - gen sg;О
35212;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35213;;у;У;PR;;;виде чего-то , _у_ меня возникают ассоциации;у;;;;;;PR;У;PR;У
35214;;меня;Я;SPRO sg 1p - gen;;;чего-то , у _меня_ возникают ассоциации при;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc;Я
35215;;возникают;ВОЗНИКАТЬ;V ipf praes pl indic - 3p;;;, у меня _возникают_ ассоциации при ощущении;т;ю;а;к;и;н;V;ВОЗНИКАТЬ;V ipf praes pl indic - 3p;Ь
35216;;ассоциации;АССОЦИАЦИЯ;S f inan nom pl;;;у меня возникают _ассоциации_ при ощущении запаха;и;и;ц;а;и;ц;S;АССОЦИАЦИЯ;S f inan nom pl;Я
35217;;при;ПРИ;PR;;;меня возникают ассоциации _при_ ощущении запаха ,;и;р;п;;;;PR;ПРИ;PR;И
35218;;ощущении;ОЩУЩЕНИЕ;S n inan loc sg;;;возникают ассоциации при _ощущении_ запаха , особенно;и;и;н;е;щ;у;S;ОЩУЩЕНИЕ;S n inan loc sg;Е
35219;;запаха;ЗАПАХ;S m inan gen sg;;;ассоциации при ощущении _запаха_ , особенно вот;а;х;а;п;а;з;S;ЗАПАХ;S m inan gen sg;Х
35220;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35221;;особенно;ОСОБЕННО;ADV -;;;ощущении запаха , _особенно_ вот запах осени;о;н;н;е;б;о;ADV;ОСОБЕННО;ADV -;О
35222;;вот;ВОТ;PART;;;запаха , особенно _вот_ запах осени ,;т;о;в;;;;PART;ВОТ;PART;Т
35223;;запах;ЗАПАХ;S m inan nom sg;;;, особенно вот _запах_ осени , листвы;х;а;п;а;з;;S;ЗАПАХ;S m inan nom sg;Х
35224;;осени;ОСЕНЬ;S f inan gen sg;;;особенно вот запах _осени_ , листвы ,;и;н;е;с;о;;S;ОСЕНЬ;S f inan gen sg;Ь
35225;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35226;;листвы;ЛИСТВА;S f inan gen sg;;;запах осени , _листвы_ , грибов .;ы;в;т;с;и;л;S;ЛИСТВА;S f inan gen sg;А
35227;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35228;;грибов;ГРИБ;S m inan gen pl;;;, листвы , _грибов_ .  ;в;о;б;и;р;г;S;ГРИБ;S m inan gen pl;Б
35229;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35230;;;;;;;;;;;;;;;;;
35231;# sent = 2635;;;;;;;;;;;;;;;;
35232;# speaker = Алёна;;;;;;;;;;;;;;;;
35233;# sent = 2636;;;;;;;;;;;;;;;;
35234;"<distinct form=""";;;;;;;;;;;;;;;;
35235;<dist>;иии;;;;;;;;;;;;;;;
35236;""">";;;;;;;;;;;;;;;;
35237;;И;И;CONJ;;; иии  _И_  очень яркое;и;;;;;;CONJ;И;S - - nonflex -;И
35238;</distinct>;;;;;;;;;;;;;;;;
35239;;очень;ОЧЕНЬ;ADV -;;; И  _очень_ яркое вппечатление у;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35240;;яркое;ЯРКИЙ;A - nom sg plen n -;;;И  очень _яркое_ вппечатление у меня;е;о;к;р;я;;A;ЯРКИЙ;A - nom sg plen n -;Й
35241;;вппечатление;ВПЕЧАТЛЕНИЕ;S n inan nom sg;distort;; очень яркое _вппечатление_ у меня осталось;е;и;н;е;л;т;S;ВППЕЧАТЛЕНИЕ;S n inan nom sg;Е
35242;;у;У;PR;;;очень яркое вппечатление _у_ меня осталось ,;у;;;;;;PR;У;PR;У
35243;;меня;Я;SPRO sg 1p - gen;;;яркое вппечатление у _меня_ осталось , ну;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc;Я
35244;;осталось;ОСТАТЬСЯ;V pf praet sg indic n -;;;вппечатление у меня _осталось_ , ну ,;ь;с;о;л;а;т;V;ОСТАТЬСЯ;V pf praet sg indic n -;Я
35245;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35246;;ну;НУ;PART;;;меня осталось , _ну_ , наверное ,;у;н;;;;;PART;НУ;PART;У
35247;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35248;;наверное;НАВЕРНОЕ;ADV -;;;, ну , _наверное_ , от Кипра;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35249;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35250;;от;ОТ;PR;;;, наверное , _от_ Кипра . ;т;о;;;;;PR;ОТ;PR;Т
35251;;Кипра;КИПР;S m inan gen sg;;;наверное , от _Кипра_ .  ;а;р;п;и;к;;S;КИПР;S m inan gen sg;Р
35252;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35253;;;;;;;;;;;;;;;;;
35254;# sent = 2637;;;;;;;;;;;;;;;;
35255;;Кипр;КИПР;S m inan nom sg;;;.   _Кипр_ ...  ;р;п;и;к;;;S;КИПР;S m inan nom sg;Р
35256;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35257;;;;;;;;;;;;;;;;;
35258;# sent = 2638;;;;;;;;;;;;;;;;
35259;;Когда;КОГДА;CONJ;;;...   _Когда_ прилетаешь , кажется;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
35260;;прилетаешь;ПРИЛЕТАТЬ;V ipf praes sg indic - 2p;;;  Когда _прилетаешь_ , кажется ,;ь;ш;е;а;т;е;V;ПРИЛЕТАТЬ;V ipf praes sg indic - 2p;Ь
35261;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35262;;кажется;КАЖЕТСЯ;V ipf praes sg indic - 3p;;;Когда прилетаешь , _кажется_ , что такая;я;с;т;е;ж;а;ADV;КАЖЕТСЯ;ADV -;Я
35263;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35264;;что;ЧТО;CONJ;;;, кажется , _что_ такая выжженая местность;о;т;ч;;;;CONJ;ЧТО;CONJ;О
35265;;такая;ТАКОЙ;APRO - nom sg plen f -;;;кажется , что _такая_ выжженая местность ,;я;а;к;а;т;;APRO;ТАКОЙ;A - nom sg plen f -;Й
35266;;выжженая;ВЫЖЖЕНЫЙ;A - nom sg plen f -;;;, что такая _выжженая_ местность , выжженая;я;а;н;е;ж;ж;A;ВЫЖЖЕНЫЙ;A - nom sg plen f -;Й
35267;;местность;МЕСТНОСТЬ;S f inan nom sg;;;что такая выжженая _местность_ , выжженая солнцем;ь;т;с;о;н;т;S;МЕСТНОСТЬ;S f inan nom sg;Ь
35268;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35269;;выжженая;ВЫЖЖЕНЫЙ;A - nom sg plen f -;;;выжженая местность , _выжженая_ солнцем , но;я;а;н;е;ж;ж;A;ВЫЖЖЕНЫЙ;A - nom sg plen f -;Й
35270;;солнцем;СОЛНЦЕ;S n inan ins sg;;;местность , выжженая _солнцем_ , но ;м;е;ц;н;л;о;S;СОЛНЦЕ;S n inan ins sg;Е
35271;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35272;;но;НО;CONJ;;;выжженая солнцем , _но_  когдааа ;о;н;;;;;CONJ;НО;CONJ;О
35273;"<distinct form=""";;;;;;;;;;;;;;;;
35274;<dist>;когдааа;;;;;;;;;;;;;;;
35275;""">";;;;;;;;;;;;;;;;
35276;;когда;КОГДА;CONJ;;; когдааа  _когда_  находишься непосредственно;а;д;г;о;к;;ADV;КОГДА;ADV -;А
35277;</distinct>;;;;;;;;;;;;;;;;
35278;;находишься;НАХОДИТЬСЯ;V ipf praes sg indic - 2p;;; когда  _находишься_ непосредственно уже в;я;с;ь;ш;и;д;V;НАХОДИТЬСЯ;V ipf praes sg indic - 2p;Я
35279;;непосредственно;НЕПОСРЕДСТВЕННО;ADV -;;;когда  находишься _непосредственно_ уже в городе;о;н;н;е;в;т;ADV;НЕПОСРЕДСТВЕННО;ADV -;О
35280;;уже;УЖЕ;ADV -;;; находишься непосредственно _уже_ в городе ,;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
35281;;в;В;PR;;;находишься непосредственно уже _в_ городе , в;в;;;;;;PR;В;PR;В
35282;;городе;ГОРОД;S m inan loc sg;;;непосредственно уже в _городе_ , в курортной;е;д;о;р;о;г;S;ГОРОД;S m inan loc sg;Д
35283;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35284;;в;В;PR;;;в городе , _в_ курортной зоне ,;в;;;;;;PR;В;PR;В
35285;;курортной;КУРОРТНЫЙ;A - loc sg plen f -;;;городе , в _курортной_ зоне , то;й;о;н;т;р;о;A;КУРОРТНЫЙ;A - loc sg plen f -;Й
35286;;зоне;ЗОНА;S f inan loc sg;;;, в курортной _зоне_ , то очень;е;н;о;з;;;S;ЗОНА;S f inan loc sg;А
35287;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35288;;то;ТО;CONJ;;;курортной зоне , _то_ очень живописные такие;о;т;;;;;CONJ;ТО;CONJ;О
35289;;очень;ОЧЕНЬ;ADV -;;;зоне , то _очень_ живописные такие места;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35290;;живописные;ЖИВОПИСНЫЙ;A - nom pl plen - -;;;, то очень _живописные_ такие места .;е;ы;н;с;и;п;A;ЖИВОПИСНЫЙ;A - nom pl plen - -;Й
35291;;такие;ТАКОЙ;APRO - nom pl plen - -;;;то очень живописные _такие_ места . ;е;и;к;а;т;;APRO;ТАКОЙ;A - nom pl plen - -;Й
35292;;места;МЕСТО;S n inan nom pl;;;очень живописные такие _места_ .  ;а;т;с;е;м;;S;МЕСТО;S n inan nom pl;О
35293;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35294;;;;;;;;;;;;;;;;;
35295;# sent = 2639;;;;;;;;;;;;;;;;
35296;;И;И;CONJ;;;.   _И_ , помнишь ,;и;;;;;;CONJ;И;CONJ;И
35297;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35298;;помнишь;ПОМНИТЬ;V ipf praes sg indic - 2p;;; И , _помнишь_ , наши впечатления;ь;ш;и;н;м;о;V;ПОМНИТЬ;V ipf praes sg indic - 2p;Ь
35299;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35300;;наши;НАШ;APRO - acc pl plen - -;;;, помнишь , _наши_ впечатления о цвете;и;ш;а;н;;;APRO;НАШ;A - nom pl plen - -;Ш
35301;;впечатления;ВПЕЧАТЛЕНИЕ;S n inan acc pl;;;помнишь , наши _впечатления_ о цвете моря;я;и;н;е;л;т;S;ВПЕЧАТЛЕНИЕ;S n inan nom pl;Е
35302;;о;О;PR;;;, наши впечатления _о_ цвете моря ,;о;;;;;;PR;О;PR;О
35303;;цвете;ЦВЕТ;S m inan loc sg;;;наши впечатления о _цвете_ моря , хах;е;т;е;в;ц;;S;ЦВЕТ;S m inan loc sg;Т
35304;;моря;МОРЕ;S n inan gen sg;;;впечатления о цвете _моря_ , хах ?;я;р;о;м;;;S;МОРЕ;S n inan gen sg;Е
35305;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35306;;хах;ХАХ;NONLEX;;;цвете моря , _хах_ ?  ;х;а;х;;;;S;ХАХ;S m anim nom sg;Х
35307;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
35308;;;;;;;;;;;;;;;;;
35309;# sent = 2640;;;;;;;;;;;;;;;;
35310;;Когда;КОГДА;CONJ;;;?   _Когда_ мы воскликнули :;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
35311;;мы;МЫ;SPRO pl 1p - nom;;;"  Когда _мы_ воскликнули : """;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
35312;;воскликнули;ВОСКЛИКНУТЬ;V pf praet pl indic - -;;;" Когда мы _воскликнули_ : "" Ах";и;л;у;н;к;и;V;ВОСКЛИКНУТЬ;V pf praet pl indic - -;Ь
35313;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
35314;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
35315;;Ах;АХ;INTJ;;;"воскликнули : "" _Ах_ , как на";х;а;;;;;INTJ;АХ;INTJ;Х
35316;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35317;;как;КАК;CONJ;;;""" Ах , _как_ на плакате """;к;а;к;;;;ADV;КАК;ADV -;К
35318;;на;НА;PR;;;"Ах , как _на_ плакате "" .";а;н;;;;;PR;НА;PR;А
35319;;плакате;ПЛАКАТ;S m inan loc sg;;;", как на _плакате_ "" . ";е;т;а;к;а;л;S;ПЛАКАТ;S m inan loc sg;Т
35320;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
35321;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35322;;;;;;;;;;;;;;;;;
35323;# sent = 2641;;;;;;;;;;;;;;;;
35324;;Что;ЧТО;SPRO n inan nom sg;;;.   _Что_ еще ? ..;о;т;ч;;;;SPRO;ЧТО;S n - nom sg;О
35325;;еще;ЕЩЕ;ADV -;;;  Что _еще_ ? .. ;е;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
35326;;?;?..;PUNCT;;;;;;;;;;PUNCT;;;
35327;;..;..;PUNCT;;;;;;;;;;PUNCT;;;
35328;;;;;;;;;;;;;;;;;
35329;# sent = 2642;;;;;;;;;;;;;;;;
35330;;Ну;НУ;PART;;;..   _Ну_ Барселона , наверное;у;н;;;;;PART;НУ;PART;У
35331;;Барселона;БАРСЕЛОНА;S f inan nom sg;;;  Ну _Барселона_ , наверное ,;а;н;о;л;е;с;S;БАРСЕЛОНА;S f inan nom sg;А
35332;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35333;;наверное;НАВЕРНОЕ;PARENTH -;;;Ну Барселона , _наверное_ , произвела впечатление;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35334;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35335;;произвела;ПРОИЗВЕСТИ;V pf praet sg indic f -;;;, наверное , _произвела_ впечатление , потому что;а;л;е;в;з;и;V;ПРОИЗВЕСТИ;V pf praet sg indic f -;И
35336;;впечатление;ВПЕЧАТЛЕНИЕ;S n inan acc sg;;;наверное , произвела _впечатление_ , потому что в;е;и;н;е;л;т;S;ВПЕЧАТЛЕНИЕ;S n inan acc sg;Е
35337;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35338;;потому что;потому что;CONJ;;;произвела впечатление , _потому что_ в первый раз;о;т;ч; ;у;м;CONJ;потому что;CONJ;о
35339;;в;В;PR;;;впечатление , потому что _в_ первый раз я;в;;;;;;PR;В;PR;В
35340;;первый;ПЕРВЫЙ;ANUM - acc sg plen m inan;;;, потому что в _первый_ раз я там;й;ы;в;р;е;п;A;ПЕРВЫЙ;A - acc sg plen m inan;Й
35341;;раз;РАЗ;S m inan acc sg;;;потому что в первый _раз_ я там побывала;з;а;р;;;;S;РАЗ;S m inan acc sg;З
35342;;я;Я;SPRO sg 1p - nom;;;в первый раз _я_ там побывала в;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35343;;там;ТАМ;ADV -;;;первый раз я _там_ побывала в девяностых;м;а;т;;;;ADV;ТАМ;ADV -;М
35344;;побывала;ПОБЫВАТЬ;V pf praet sg indic f -;;;раз я там _побывала_ в девяностых годах;а;л;а;в;ы;б;V;ПОБЫВАТЬ;V pf praet sg indic f -;Ь
35345;;в;В;PR;;;я там побывала _в_ девяностых годах ;в;;;;;;PR;В;PR;В
35346;;девяностых;ДЕВЯНОСТЫЙ;ANUM - loc pl plen - -;;;там побывала в _девяностых_ годах  иии;х;ы;т;с;о;н;ANUM;ДЕВЯНОСТЫЙ;A - gen pl plen - -;Й
35347;;годах;ГОД;S m inan loc pl;;;побывала в девяностых _годах_  иии ;х;а;д;о;г;;S;ГОД;S m inan loc pl;Д
35348;"<distinct form=""";;;;;;;;;;;;;;;;
35349;<dist>;иии;;;;;;;;;;;;;;;
35350;""">";;;;;;;;;;;;;;;;
35351;;и;И;CONJ;;; иии  _и_  после такой;и;;;;;;CONJ;И;CONJ;И
35352;</distinct>;;;;;;;;;;;;;;;;
35353;;после;ПОСЛЕ;PR;;; и  _после_ такой достаточно суровой;е;л;с;о;п;;PR;ПОСЛЕ;PR;Е
35354;;такой;ТАКОЙ;APRO - gen sg plen f -;;;и  после _такой_ достаточно суровой серой;й;о;к;а;т;;APRO;ТАКОЙ;A - ins sg plen f -;Й
35355;;достаточно;ДОСТАТОЧНО;ADV -;;; после такой _достаточно_ суровой серой Москвы;о;н;ч;о;т;а;ADV;ДОСТАТОЧНО;ADV -;О
35356;;суровой;СУРОВЫЙ;A - gen sg plen f -;;;после такой достаточно _суровой_ серой Москвы Барселона;й;о;в;о;р;у;A;СУРОВЫЙ;A - gen sg plen f -;Й
35357;;серой;СЕРЫЙ;A - gen sg plen f -;;;такой достаточно суровой _серой_ Москвы Барселона и;й;о;р;е;с;;A;СЕРЫЙ;A - gen sg plen f -;Й
35358;;Москвы;МОСКВА;S f inan gen sg;;;достаточно суровой серой _Москвы_ Барселона и маленькие;ы;в;к;с;о;м;S;МОСКВА;S f inan gen sg;А
35359;;Барселона;БАРСЕЛОНА;S f inan nom sg;;;суровой серой Москвы _Барселона_ и маленькие городки;а;н;о;л;е;с;S;БАРСЕЛОНА;S f inan nom sg;А
35360;;и;И;CONJ;;;серой Москвы Барселона _и_ маленькие городки ,;и;;;;;;CONJ;И;CONJ;И
35361;;маленькие;МАЛЕНЬКИЙ;A - nom pl plen - inan;;;Москвы Барселона и _маленькие_ городки , которые;е;и;к;ь;н;е;A;МАЛЕНЬКИЙ;A - acc pl plen - inan;Й
35362;;городки;ГОРОДОК;S m inan nom pl;;;Барселона и маленькие _городки_ , которые находятся;и;к;д;о;р;о;S;ГОРОДОК;S m inan acc pl;К
35363;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35364;;которые;КОТОРЫЙ;APRO - nom pl plen - -;;;маленькие городки , _которые_ находятся недалеко от;е;ы;р;о;т;о;APRO;КОТОРЫЙ;A - nom pl plen - -;Й
35365;;находятся;НАХОДИТЬСЯ;V ipf praes pl indic - 3p;;;городки , которые _находятся_ недалеко от нее;я;с;т;я;д;о;V;НАХОДИТЬСЯ;V ipf praes pl indic - 3p;Я
35366;;недалеко;НЕДАЛЕКО;ADV -;;;, которые находятся _недалеко_ от нее ,;о;к;е;л;а;д;ADV;НЕДАЛЕКО;ADV -;О
35367;;от;ОТ;PR;;;которые находятся недалеко _от_ нее , такие;т;о;;;;;PR;ОТ;PR;Т
35368;;нее;ОНА;SPRO sg 3p f gen;;;находятся недалеко от _нее_ , такие ;е;е;н;;;;SPRO;ОНА;SPRO sg 3p f acc;А
35369;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
