34937;# doc = travelling.2.txt;;;;;;;;;;;;;;;;
35608;;съездить;СЪЕЗДИТЬ;V pf - - inf - -;;;бы хотела бы _съездить_ на Сахалин .;ь;т;и;д;з;е;V;СЪЕЗДИТЬ;V pf - - inf - -;Ь
35609;;на;НА;PR;;;хотела бы съездить _на_ Сахалин . ;а;н;;;;;PR;НА;PR;А
35610;;Сахалин;САХАЛИН;S m inan acc sg;;;бы съездить на _Сахалин_ .  ;н;и;л;а;х;а;S;САХАЛИН;S m inan acc sg;Н
35611;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35612;;;;;;;;;;;;;;;;;
35613;# sent = 2660;;;;;;;;;;;;;;;;
35614;"<distinct form=""";;;;;;;;;;;;;;;;
35615;<dist>;счас;;;;;;;;;;;;;;;
35616;""">";;;;;;;;;;;;;;;;
35617;;Сейчас;СЕЙЧАС;ADV -;;; счас  _Сейчас_  , уже;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -;С
35618;</distinct>;;;;;;;;;;;;;;;;
35619;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35620;;уже;УЖЕ;ADV -;;;Сейчас  , _уже_ будучи взрослым человеком;е;ж;у;;;;ADV;УЖЕ;ADV -;Е
35621;;будучи;БЫТЬ;V ipf praes - ger - -;;; , уже _будучи_ взрослым человеком .;и;ч;у;д;у;б;V;БЫТЬ;V ipf praes - ger - -;Ь
35622;;взрослым;ВЗРОСЛЫЙ;A - ins sg plen m -;;;, уже будучи _взрослым_ человеком . ;м;ы;л;с;о;р;A;ВЗРОСЛЫЙ;A - ins sg plen m -;Й
35623;;человеком;ЧЕЛОВЕК;S m anim ins sg;;;уже будучи взрослым _человеком_ .  ;м;о;к;е;в;о;S;ЧЕЛОВЕК;S m anim ins sg;К
35624;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35625;;;;;;;;;;;;;;;;;
35626;# sent = 2661;;;;;;;;;;;;;;;;
35627;;Я;Я;SPRO sg 1p - nom;;;.   _Я_ бы хотела съездить;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35628;;бы;БЫ;PART;;;  Я _бы_ хотела съездить в;ы;б;;;;;PART;БЫ;PART;Ы
35629;;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;; Я бы _хотела_ съездить в Калининград;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -;Ь
35630;;съездить;СЪЕЗДИТЬ;V pf - - inf - -;;;Я бы хотела _съездить_ в Калининград ,;ь;т;и;д;з;е;V;СЪЕЗДИТЬ;V pf - - inf - -;Ь
35631;;в;В;PR;;;бы хотела съездить _в_ Калининград , ;в;;;;;;PR;В;PR;В
35632;;Калининград;КАЛИНИНГРАД;S m inan acc sg;;;хотела съездить в _Калининград_ ,  вишь;д;а;р;г;н;и;S;КАЛИНИНГРАД;S m inan acc sg;Д
35633;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35634;"<distinct form=""";;;;;;;;;;;;;;;;
35635;<dist>;вишь;;;;;;;;;;;;;;;
35636;""">";;;;;;;;;;;;;;;;
35637;;видишь;ВИДЕТЬ;V ipf praes sg indic - 2p;;; вишь  _видишь_  , какой;ь;ш;и;д;и;в;V;ВИДЕТЬ;V ipf praes sg indic - 2p;Ь
35638;</distinct>;;;;;;;;;;;;;;;;
35639;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35640;;какой;КАКОЙ;APRO - nom sg plen m -;;;видишь  , _какой_ разброс : от;й;о;к;а;к;;APRO;КАКОЙ;A - nom sg plen m -;Й
35641;;разброс;РАЗБРОС;S m inan nom sg;;; , какой _разброс_ : от одного;с;о;р;б;з;а;S;РАЗБРОС;S m inan nom sg;С
35642;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
35643;;от;ОТ;PR;;;какой разброс : _от_ одного до другого;т;о;;;;;PR;ОТ;PR;Т
35644;;одного;ОДИН;ANUM - gen sg plen m -;;;разброс : от _одного_ до другого побережья;о;г;о;н;д;о;ANUM;ОДИН;A - gen sg plen m -;Н
35645;;до;ДО;PR;;;: от одного _до_ другого побережья .;о;д;;;;;PR;ДО;PR;О
35646;;другого;ДРУГОЙ;APRO - gen sg plen m -;;;от одного до _другого_ побережья . ;о;г;о;г;у;р;A;ДРУГОЙ;A - gen sg plen m -;Й
35647;;побережья;ПОБЕРЕЖЬЕ;S n inan gen sg;;;одного до другого _побережья_ .  ;я;ь;ж;е;р;е;S;ПОБЕРЕЖЬЕ;S n inan gen sg;Е
35648;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35649;;;;;;;;;;;;;;;;;
35650;# sent = 2662;;;;;;;;;;;;;;;;
35651;;Наверное;НАВЕРНОЕ;PARENTH;;;.   _Наверное_ , я бы;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35652;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35653;;я;Я;SPRO sg 1p - nom;;; Наверное , _я_ бы съездила на;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35654;;бы;БЫ;PART;;;Наверное , я _бы_ съездила на Камчатку;ы;б;;;;;PART;БЫ;PART;Ы
35655;;съездила;СЪЕЗДИТЬ;V pf praet sg indic f -;;;, я бы _съездила_ на Камчатку .;а;л;и;д;з;е;V;СЪЕЗДИТЬ;V pf praet sg indic f -;Ь
35656;;на;НА;PR;;;я бы съездила _на_ Камчатку . ;а;н;;;;;PR;НА;PR;А
35657;;Камчатку;КАМЧАТКА;S f inan acc sg;;;бы съездила на _Камчатку_ .  ;у;к;т;а;ч;м;S;КАМЧАТКА;S f inan acc sg;А
35658;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35659;;;;;;;;;;;;;;;;;
35660;# sent = 2663;;;;;;;;;;;;;;;;
35661;;А;А;PART;;;.   _А_ !  ;а;;;;;;PART;А;PART;А
35662;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
35663;;;;;;;;;;;;;;;;;
35664;# sent = 2664;;;;;;;;;;;;;;;;
35665;;Еще;ЕЩЕ;ADV -;;;!   _Еще_ мне интересно было;е;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
35666;;мне;Я;SPRO sg 1p - dat;;;  Еще _мне_ интересно было бы;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
35667;;интересно;ИНТЕРЕСНО;PRAEDIC -;;; Еще мне _интересно_ было бы съездить;о;н;с;е;р;е;ADV;ИНТЕРЕСНО;ADV -;О
35668;;было;БЫТЬ;V ipf praet sg indic n -;;;Еще мне интересно _было_ бы съездить на;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
35669;;бы;БЫ;PART;;;мне интересно было _бы_ съездить на Алтай;ы;б;;;;;PART;БЫ;PART;Ы
35670;;съездить;СЪЕЗДИТЬ;V pf - - inf - -;;;интересно было бы _съездить_ на Алтай ,;ь;т;и;д;з;е;V;СЪЕЗДИТЬ;V pf - - inf - -;Ь
35671;;на;НА;PR;;;было бы съездить _на_ Алтай , вот;а;н;;;;;PR;НА;PR;А
35672;;Алтай;АЛТАЙ;S m inan acc sg;;;бы съездить на _Алтай_ , вот ,;й;а;т;л;а;;S;АЛТАЙ;S m inan acc sg;Й
35673;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35674;;вот;ВОТ;PART;;;на Алтай , _вот_ , очень интересно;т;о;в;;;;PART;ВОТ;PART;Т
35675;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35676;;очень;ОЧЕНЬ;ADV -;;;, вот , _очень_ интересно было бы;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
35677;;интересно;ИНТЕРЕСНО;PRAEDIC -;;;вот , очень _интересно_ было бы побывать;о;н;с;е;р;е;ADV;ИНТЕРЕСНО;ADV -;О
35678;;было;БЫТЬ;V ipf praet sg indic n -;;;, очень интересно _было_ бы побывать там;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
35679;;бы;БЫ;PART;;;очень интересно было _бы_ побывать там .;ы;б;;;;;PART;БЫ;PART;Ы
35680;;побывать;ПОБЫВАТЬ;V pf - - inf - -;;;интересно было бы _побывать_ там . ;ь;т;а;в;ы;б;V;ПОБЫВАТЬ;V pf - - inf - -;Ь
35681;;там;ТАМ;ADV -;;;было бы побывать _там_ .  ;м;а;т;;;;ADV;ТАМ;ADV -;М
35682;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35683;;;;;;;;;;;;;;;;;
35684;# sent = 2665;;;;;;;;;;;;;;;;
35685;;А;А;CONJ;;;.   _А_ из стран ...;а;;;;;;CONJ;А;CONJ;А
35686;;из;ИЗ;PR;;;  А _из_ стран ... ;з;и;;;;;PR;ИЗ;PR;З
35687;;стран;СТРАНА;S f inan gen pl;;; А из _стран_ ...  ;н;а;р;т;с;;S;СТРАНА;S f inan gen pl;А
35688;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35689;;;;;;;;;;;;;;;;;
35690;# sent = 2666;;;;;;;;;;;;;;;;
35691;;Ну;НУ;PART;;;...   _Ну_ наверное , в;у;н;;;;;PART;НУ;PART;У
35692;;наверное;НАВЕРНОЕ;PARENTH;;;  Ну _наверное_ , в Италию;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35693;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35694;;в;В;PR;;;Ну наверное , _в_ Италию . ;в;;;;;;PR;В;PR;В
35695;;Италию;ИТАЛИЯ;S f inan acc sg;;;наверное , в _Италию_ .  ;ю;и;л;а;т;и;S;ИТАЛИЯ;S f inan acc sg;Я
35696;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35697;;;;;;;;;;;;;;;;;
35698;# sent = 2667;;;;;;;;;;;;;;;;
35699;;Э;Э-Э;INTJ;;;.   _Э_ ... Во Францию;э;;;;;;NONLEX;Э;NONLEX;Э
35700;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35701;;Во;ВО;PR;;; Э ... _Во_ Францию ? ..;о;в;;;;;PR;ВО;PR;О
35702;;Францию;ФРАНЦИЯ;S f inan acc sg;;;Э ... Во _Францию_ ? .. ;ю;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan acc sg;Я
35703;;?;?..;PUNCT;;;;;;;;;;PUNCT;;;
35704;;..;..;PUNCT;;;;;;;;;;PUNCT;;;
35705;;;;;;;;;;;;;;;;;
35706;# sent = 2668;;;;;;;;;;;;;;;;
35707;;Нет;НЕТ;PART;;;..   _Нет_ , наверное ,;т;е;н;;;;PART;НЕТ;PART;Т
35708;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35709;;наверное;НАВЕРНОЕ;ADV -;;; Нет , _наверное_ , во Францию;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35710;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35711;;во;ВО;PR;;;, наверное , _во_ Францию не хочу;о;в;;;;;PR;ВО;PR;О
35712;;Францию;ФРАНЦИЯ;S f inan acc sg;;;наверное , во _Францию_ не хочу ,;ю;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan acc sg;Я
35713;;не;НЕ;PART;;;, во Францию _не_ хочу , не;е;н;;;;;PART;НЕ;PART;Е
35714;;хочу;ХОТЕТЬ;V ipf praes sg indic - 1p;;;во Францию не _хочу_ , не знаю;у;ч;о;х;;;V;ХОТЕТЬ;V ipf praes sg indic - 1p;Ь
35715;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35716;;не;НЕ;PART;;;не хочу , _не_ знаю даж ...;е;н;;;;;PART;НЕ;PART;Е
35717;;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;хочу , не _знаю_ даж ... ;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p;Ь
35718;;даж;ДАЖE;PART;distort;;, не знаю _даж_ ...  ;ж;а;д;;;;PART;ДАЖ;S m inan acc sg;Ж
35719;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35720;;;;;;;;;;;;;;;;;
35721;# sent = 2669;;;;;;;;;;;;;;;;
35722;"<span class=""note"">";;;;;;;;;;;;;;;;
35723;<note>;Говорят одновременно;;;;;;;;;;;;;;;
35724;</span>;;;;;;;;;;;;;;;;
35725;;;;;;;;;;;;;;;;;
35726;# sent = 2670;;;;;;;;;;;;;;;;
35727;# speaker = Марина;;;;;;;;;;;;;;;;
35728;# sent = 2671;;;;;;;;;;;;;;;;
35729;;Почему;ПОЧЕМУ;ADV -;;;   _Почему_ ?  ;у;м;е;ч;о;п;ADV;ПОЧЕМУ;ADV -;У
35730;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
35731;;;;;;;;;;;;;;;;;
35732;# sent = 2672;;;;;;;;;;;;;;;;
35733;# speaker = Алёна;;;;;;;;;;;;;;;;
35734;# sent = 2673;;;;;;;;;;;;;;;;
35735;;На;НА;PR;;;   _На_ Кипр хотела бы;а;н;;;;;PR;НА;PR;А
35736;;Кипр;КИПР;S m inan acc sg;;;  На _Кипр_ хотела бы !;р;п;и;к;;;S;КИПР;S m inan acc sg;Р
35737;;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;; На Кипр _хотела_ бы ! ;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -;Ь
35738;;бы;БЫ;PART;;;На Кипр хотела _бы_ !  ;ы;б;;;;;PART;БЫ;PART;Ы
35739;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
35740;;;;;;;;;;;;;;;;;
35741;# sent = 2674;;;;;;;;;;;;;;;;
35742;# speaker = Марина;;;;;;;;;;;;;;;;
35743;# sent = 2675;;;;;;;;;;;;;;;;
35744;;Почему;ПОЧЕМУ;ADV -;;;   _Почему_ во Францию не;у;м;е;ч;о;п;ADV;ПОЧЕМУ;ADV -;У
35745;;во;ВО;PR;;;  Почему _во_ Францию не хочешь;о;в;;;;;PR;ВО;PR;О
35746;;Францию;ФРАНЦИЯ;S f inan acc sg;;; Почему во _Францию_ не хочешь ?;ю;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan acc sg;Я
35747;;не;НЕ;PART;;;Почему во Францию _не_ хочешь ? ;е;н;;;;;PART;НЕ;PART;Е
35748;;хочешь;ХОТЕТЬ;V ipf praes sg indic - 2p;;;во Францию не _хочешь_ ?  ;ь;ш;е;ч;о;х;V;ХОТЕТЬ;V ipf praes sg indic - 2p;Ь
35749;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
35750;;;;;;;;;;;;;;;;;
35751;# sent = 2676;;;;;;;;;;;;;;;;
35752;# speaker = Алёна;;;;;;;;;;;;;;;;
35753;# sent = 2677;;;;;;;;;;;;;;;;
35754;;Во;ВО;PR;;;   _Во_ Францию не хочу;о;в;;;;;PR;ВО;PR;О
35755;;Францию;ФРАНЦИЯ;S f inan acc sg;;;  Во _Францию_ не хочу ?;ю;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan acc sg;Я
35756;;не;НЕ;PART;;; Во Францию _не_ хочу ? ..;е;н;;;;;PART;НЕ;PART;Е
35757;;хочу;ХОТЕТЬ;V ipf praes sg indic - 1p;;;Во Францию не _хочу_ ? .. ;у;ч;о;х;;;V;ХОТЕТЬ;V ipf praes sg indic - 1p;Ь
35758;;?;?..;PUNCT;;;;;;;;;;PUNCT;;;
35759;;..;..;PUNCT;;;;;;;;;;PUNCT;;;
35760;;;;;;;;;;;;;;;;;
35761;# sent = 2678;;;;;;;;;;;;;;;;
35762;;Не;НЕ;PART;;;..   _Не_ знаю , вот;е;н;;;;;PART;НЕ;PART;Е
35763;;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;  Не _знаю_ , вот как-то;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p;Ь
35764;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35765;;вот;ВОТ;PART;;;Не знаю , _вот_ как-то ... ;т;о;в;;;;PART;ВОТ;PART;Т
35766;;как-то;КАК-ТО;ADVPRO -;;;знаю , вот _как-то_ ...  ;о;т;-;к;а;к;ADV;КАК-ТО;ADV -;О
35767;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
35768;;;;;;;;;;;;;;;;;
35769;# sent = 2679;;;;;;;;;;;;;;;;
35770;;Вот;ВОТ;PART;;;...   _Вот_ когда произношу слово;т;о;в;;;;PART;ВОТ;PART;Т
35771;;когда;КОГДА;CONJ;;;"  Вот _когда_ произношу слово """;а;д;г;о;к;;CONJ;КОГДА;CONJ;А
35772;;произношу;ПРОИЗНОСИТЬ;V ipf praes sg indic - 1p;;;" Вот когда _произношу_ слово "" Францию";у;ш;о;н;з;и;V;ПРОИЗНОСИТЬ;V ipf praes sg indic - 1p;Ь
35773;;слово;СЛОВО;S n inan acc sg;;;"Вот когда произношу _слово_ "" Францию """;о;в;о;л;с;;S;СЛОВО;S n inan nom sg;О
35774;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
35775;;Францию;ФРАНЦИЯ;S f inan nom sg;DISTORT;;"произношу слово "" _Францию_ "" , вот";ю;и;ц;н;а;р;S;ФРАНЦИЯ;S f inan acc sg;Я
35776;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
35777;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35778;;вот;ВОТ;PART;;;"Францию "" , _вот_ что-то не греет";т;о;в;;;;PART;ВОТ;PART;Т
35779;;что-то;ЧТО-ТО;SPRO n inan nom sg;;;""" , вот _что-то_ не греет .";о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - nom sg;О
35780;;не;НЕ;PART;;;, вот что-то _не_ греет . ;е;н;;;;;PART;НЕ;PART;Е
35781;;греет;ГРЕТЬ;V ipf praes sg indic - 3p;;;вот что-то не _греет_ .  ;т;е;е;р;г;;V;ГРЕТЬ;V ipf praes sg indic - 3p;Ь
35782;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35783;;;;;;;;;;;;;;;;;
35784;# sent = 2680;;;;;;;;;;;;;;;;
35785;"<span class=""note"">";;;;;;;;;;;;;;;;
35786;<note>;Смеется;;;;;;;;;;;;;;;
35787;</span>;;;;;;;;;;;;;;;;
35788;;Э;Э-Э;INTJ;;; Смеется  _Э_ , куда еще;э;;;;;;INTJ;Э;S - - nonflex -;Э
35789;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35790;;куда;КУДА;ADV -;;; Э , _куда_ еще ? ..;а;д;у;к;;;ADV;КУДА;ADV -;А
35791;;еще;ЕЩЕ;ADV -;;;Э , куда _еще_ ? .. ;е;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
35792;;?;?..;PUNCT;;;;;;;;;;PUNCT;;;
35793;;..;..;PUNCT;;;;;;;;;;PUNCT;;;
35794;;;;;;;;;;;;;;;;;
35795;# sent = 2681;;;;;;;;;;;;;;;;
35796;;Наверное;НАВЕРНОЕ;PARENTH;;;..   _Наверное_ , в Финляндию;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35797;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35798;;в;В;PR;;; Наверное , _в_ Финляндию бы съездила;в;;;;;;PR;В;PR;В
35799;;Финляндию;ФИНЛЯНДИЯ;S f inan acc sg;;;Наверное , в _Финляндию_ бы съездила зимой;ю;и;д;н;я;л;S;ФИНЛЯНДИЯ;S f inan acc sg;Я
35800;;бы;БЫ;PART;;;, в Финляндию _бы_ съездила зимой ,;ы;б;;;;;PART;БЫ;PART;Ы
35801;;съездила;СЪЕЗДИТЬ;V pf praet sg indic f -;;;в Финляндию бы _съездила_ зимой , под;а;л;и;д;з;е;V;СЪЕЗДИТЬ;V pf praet sg indic f -;Ь
35802;;зимой;ЗИМА;S f inan ins sg;;;Финляндию бы съездила _зимой_ , под Новый;й;о;м;и;з;;S;ЗИМА;S f inan ins sg;А
35803;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35804;;под;ПОД;PR;;;съездила зимой , _под_ Новый год ,;д;о;п;;;;PR;ПОД;PR;Д
35805;;Новый;НОВЫЙ;A - acc sg plen m inan;;;зимой , под _Новый_ год , вот;й;ы;в;о;н;;A;НОВЫЙ;A - acc sg plen m inan;Й
35806;;год;ГОД;S m inan acc sg;;;, под Новый _год_ , вот наверное;д;о;г;;;;S;ГОД;S m inan acc sg;Д
35807;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35808;;вот;ВОТ;PART;;;Новый год , _вот_ наверное да ,;т;о;в;;;;PART;ВОТ;PART;Т
35809;;наверное;НАВЕРНОЕ;PARENTH;;;год , вот _наверное_ да , туда;е;о;н;р;е;в;ADV;НАВЕРНОЕ;ADV -;Е
35810;;да;ДА;CONJ;;;, вот наверное _да_ , туда съездила;а;д;;;;;CONJ;ДА;CONJ;А
35811;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35812;;туда;ТУДА;ADV -;;;наверное да , _туда_ съездила бы .;а;д;у;т;;;ADV;ТУДА;ADV -;А
35813;;съездила;СЪЕЗДИТЬ;V pf praet sg indic f -;;;да , туда _съездила_ бы . ;а;л;и;д;з;е;V;СЪЕЗДИТЬ;V pf praet sg indic f -;Ь
35814;;бы;БЫ;PART;;;, туда съездила _бы_ .  ;ы;б;;;;;PART;БЫ;PART;Ы
35815;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35816;;;;;;;;;;;;;;;;;
35817;# sent = 2682;;;;;;;;;;;;;;;;
35818;;Никогда;НИКОГДА;ADV -;;;.   _Никогда_ не была в;а;д;г;о;к;и;ADV;НИКОГДА;ADV -;А
35819;;не;НЕ;PART;;;  Никогда _не_ была в Прибалтике;е;н;;;;;PART;НЕ;PART;Е
35820;;была;БЫТЬ;V ipf praet sg indic f -;;; Никогда не _была_ в Прибалтике ,;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
35821;;в;В;PR;;;Никогда не была _в_ Прибалтике , интересно;в;;;;;;PR;В;PR;В
35822;;Прибалтике;ПРИБАЛТИКА;S f inan loc sg;;;не была в _Прибалтике_ , интересно было;е;к;и;т;л;а;S;ПРИБАЛТИКА;S f inan loc sg;А
35823;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35824;;интересно;ИНТЕРЕСНО;PRAEDIC -;;;в Прибалтике , _интересно_ было бы посмотреть;о;н;с;е;р;е;ADV;ИНТЕРЕСНО;ADV -;О
35825;;было;БЫТЬ;V ipf praet sg indic n -;;;Прибалтике , интересно _было_ бы посмотреть .;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
35826;;бы;БЫ;PART;;;, интересно было _бы_ посмотреть . ;ы;б;;;;;PART;БЫ;PART;Ы
35827;;посмотреть;ПОСМОТРЕТЬ;V pf - - inf - -;;;интересно было бы _посмотреть_ .  ;ь;т;е;р;т;о;V;ПОСМОТРЕТЬ;V pf - - inf - -;Ь
35828;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35829;;;;;;;;;;;;;;;;;
35830;# sent = 2683;;;;;;;;;;;;;;;;
35831;"<distinct form=""";;;;;;;;;;;;;;;;
35832;<dist>;нууу;;;;;;;;;;;;;;;
35833;""">";;;;;;;;;;;;;;;;
35834;;Ну;НУ;PART;;; нууу  _Ну_  , Калининград;у;н;;;;;PART;НУ;PART;У
35835;</distinct>;;;;;;;;;;;;;;;;
35836;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35837;;Калининград;КАЛИНИНГРАД;S m inan nom sg;;;Ну  , _Калининград_ , я думаю;д;а;р;г;н;и;S;КАЛИНИНГРАД;S m inan acc sg;Д
35838;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35839;;я;Я;SPRO sg 1p - nom;;;, Калининград , _я_ думаю , заменит;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35840;;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;Калининград , я _думаю_ , заменит все;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p;Ь
35841;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35842;;заменит;ЗАМЕНИТЬ;V pf fut sg indic - 3p;;;я думаю , _заменит_ все эти республики;т;и;н;е;м;а;V;ЗАМЕНИТЬ;V pf fut sg indic - 3p;Ь
35843;;все;ВЕСЬ;APRO - acc pl plen - inan;;;думаю , заменит _все_ эти республики вместе;е;с;в;;;;APRO;ВЕСЬ;A - acc pl plen - inan;Ь
35844;;эти;ЭТОТ;APRO - acc pl plen - inan;;;, заменит все _эти_ республики вместе взятые;и;т;э;;;;APRO;ЭТОТ;A - acc pl plen - inan;Т
35845;;республики;РЕСПУБЛИКА;S f inan acc sg pl;;;заменит все эти _республики_ вместе взятые ,;и;к;и;л;б;у;S;РЕСПУБЛИКА;S f inan gen sg;А
35846;;вместе;ВМЕСТЕ;ADV -;;;все эти республики _вместе_ взятые , я;е;т;с;е;м;в;ADV;ВМЕСТЕ;ADV -;Е
35847;;взятые;ВЗЯТЬ;PARTCP pf praet acc pl plen - pass inan;;;эти республики вместе _взятые_ , я так;е;ы;т;я;з;в;PARTCP;ВЗЯТЬ;PARTCP pf praet acc pl plen - pass inan;Ь
35848;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
35849;;я;Я;SPRO sg 1p - nom;;;вместе взятые , _я_ так думаю .;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
35850;;так;ТАК;ADVPRO -;;;взятые , я _так_ думаю . ;к;а;т;;;;ADV;ТАК;ADV -;К
35851;;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;, я так _думаю_ .  ;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p;Ь
35852;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
35853;;;;;;;;;;;;;;;;;
35854;# sent = 2684;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
35855;#  #;;;;;;;;;;;;;;;;
